clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Stuttgart,2021-03-06,24,Visitante,E,1.0,1.0,Eint Frankfurt,42.0,2.0,
Stuttgart,2021-02-27,23,Em casa,V,5.0,1.0,Schalke 04,48.0,6.0,
Stuttgart,2021-02-20,22,Visitante,V,1.0,0.0,Köln,48.0,1.0,
Stuttgart,2021-02-13,21,Em casa,E,1.0,1.0,Hertha BSC,52.0,2.0,
Stuttgart,2021-02-06,20,Visitante,D,2.0,5.0,Leverkusen,44.0,7.0,
Stuttgart,2021-01-29,19,Em casa,V,2.0,0.0,Mainz 05,53.0,2.0,
Stuttgart,2021-01-23,18,Visitante,D,1.0,2.0,Freiburg,62.0,3.0,
Stuttgart,2021-01-20,17,Visitante,D,0.0,3.0,Arminia,66.0,3.0,
Stuttgart,2021-01-16,16,Em casa,E,2.0,2.0,M'Gladbach,60.0,4.0,
Stuttgart,2021-01-10,15,Visitante,V,4.0,1.0,Augsburg,57.0,5.0,
Stuttgart,2021-01-02,14,Em casa,D,0.0,1.0,RB Leipzig,45.0,1.0,
Stuttgart,2020-12-20,13,Visitante,D,0.0,1.0,Wolfsburg,51.0,1.0,
Stuttgart,2020-12-15,12,Em casa,E,2.0,2.0,Union Berlin,61.0,4.0,
