data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2021-01-08,Atl Goianiense,Vasco,0.0,0.0,Empate,0.0
2021-01-07,Flamengo,Fluminense,1.0,2.0,Vitória Visitante,3.0
2021-01-07,Bragantino,São Paulo,4.0,2.0,Vitória Mandante,6.0
2021-01-07,Ceará,Internacional,0.0,2.0,Vitória Visitante,2.0
2021-01-06,Sport Recife,Fortaleza,1.0,0.0,Vitória Mandante,1.0
2021-01-06,Coritiba,Goias,1.0,2.0,Vitória Visitante,3.0
2021-01-06,Grêmio,Bahia,2.0,1.0,Vitória Mandante,3.0
2021-01-06,Botafogo RJ,Atl Paranaense,0.0,2.0,Vitória Visitante,2.0
2020-12-27,Grêmio,Atl Goianiense,2.0,1.0,Vitória Mandante,3.0
2020-12-27,Santos,Ceará,1.0,1.0,Empate,2.0
2020-12-27,Palmeiras,Bragantino,1.0,0.0,Vitória Mandante,1.0
2020-12-27,Atl Paranaense,Vasco,3.0,0.0,Vitória Mandante,3.0
2020-12-27,Botafogo RJ,Corinthians,0.0,2.0,Vitória Visitante,2.0
2020-12-27,Bahia,Internacional,1.0,2.0,Vitória Visitante,3.0
2020-12-27,Fluminense,São Paulo,1.0,2.0,Vitória Visitante,3.0
2020-12-26,Fortaleza,Flamengo,0.0,0.0,Empate,0.0
2020-12-26,Atlético Mineiro,Coritiba,2.0,0.0,Vitória Mandante,2.0
2020-12-26,Goias,Sport Recife,1.0,0.0,Vitória Mandante,1.0
2020-12-21,Corinthians,Goias,2.0,1.0,Vitória Mandante,3.0
2020-12-20,Fortaleza,Ceará,0.0,2.0,Vitória Visitante,2.0
2020-12-20,Flamengo,Bahia,4.0,3.0,Vitória Mandante,7.0
2020-12-20,Vasco,Santos,1.0,0.0,Vitória Mandante,1.0
2020-12-20,Bragantino,Atl Paranaense,0.0,1.0,Vitória Visitante,1.0
2020-12-20,Internacional,Palmeiras,2.0,0.0,Vitória Mandante,2.0
2020-12-20,Coritiba,Botafogo RJ,1.0,2.0,Vitória Visitante,3.0
2020-12-19,Sport Recife,Grêmio,1.0,1.0,Empate,2.0
2020-12-17,Atl Goianiense,Fluminense,2.0,1.0,Vitória Mandante,3.0
2020-12-17,São Paulo,Atlético Mineiro,3.0,0.0,Vitória Mandante,3.0
2020-12-13,Flamengo,Santos,4.0,1.0,Vitória Mandante,5.0
2020-12-13,Ceará,Atl Goianiense,1.0,2.0,Vitória Visitante,3.0
2020-12-13,Goias,Grêmio,0.0,0.0,Empate,0.0
2020-12-13,Vasco,Fluminense,1.0,1.0,Empate,2.0
2020-12-13,Corinthians,São Paulo,1.0,0.0,Vitória Mandante,1.0
2020-12-13,Sport Recife,Coritiba,1.0,0.0,Vitória Mandante,1.0
