,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
24,Monaco,2021-02-07,Visitante,V,4.0,3.0,Nîmes,56.0,7.0,6,82.6,11,5,45.5,80,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
25,Monaco,2021-02-14,Em casa,E,2.0,2.0,Lorient,70.0,4.0,7,84.7,11,3,27.3,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
26,Monaco,2021-02-21,Visitante,V,2.0,0.0,Paris S-G,26.0,2.0,2,69.5,6,3,50.0,67,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
27,Monaco,2021-02-28,Em casa,V,2.0,0.0,Brest,63.0,2.0,4,86.3,14,8,57.1,25,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
28,Monaco,2021-03-03,Visitante,D,0.0,1.0,Strasbourg,61.0,1.0,7,79.0,5,1,20.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
1,Metz,2020-09-16,Visitante,D,0.0,1.0,Paris S-G,29.0,1.0,2,69.1,7.0,1.0,14.3,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
2,Metz,2020-08-30,Em casa,D,0.0,1.0,Monaco,54.0,1.0,10,80.8,14.0,4.0,28.6,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
3,Metz,2020-09-13,Visitante,D,0.0,1.0,Lille,38.0,1.0,3,73.3,5.0,1.0,20.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
4,Metz,2020-09-20,Em casa,V,2.0,1.0,Reims,59.0,3.0,8,80.5,14.0,4.0,28.6,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
5,Metz,2020-09-26,Visitante,E,1.0,1.0,Marseille,40.0,2.0,5,76.2,14.0,2.0,14.3,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
6,Metz,2020-10-04,Em casa,V,3.0,1.0,Lorient,58.0,4.0,4,83.4,15.0,7.0,46.7,29.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
7,Metz,2020-10-18,Visitante,E,1.0,1.0,Angers,54.0,2.0,5,79.3,7.0,3.0,42.9,33.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
8,Metz,2020-10-25,Em casa,V,2.0,0.0,Saint-Étienne,42.0,2.0,5,70.2,6.0,3.0,50.0,33.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
9,Metz,2020-11-01,Visitante,V,1.0,0.0,Nîmes,32.0,1.0,1,67.3,8.0,5.0,62.5,20.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f83960ae.png
