data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante
18/03/18,Real Madrid,Girona,6,3,Vitória Mandante,1,1,D,20,10,14,6,6,7,13,13,1,2,0,0
18/03/18,Villarreal,Atlético Madrid,2,1,Vitória Mandante,0,1,A,17,8,5,2,5,4,13,16,5,3,0,1
31/03/18,Athletic Club,Celta Vigo,1,1,Empate,0,0,D,11,13,2,3,4,5,10,10,3,1,0,0
31/03/18,Girona,Levante,1,1,Empate,0,0,D,12,15,5,6,5,7,13,12,1,3,0,0
31/03/18,Las Palmas,Real Madrid,0,3,Vitória Visitante,0,2,A,17,17,3,7,3,3,11,17,3,0,0,0
31/03/18,Sevilla,Barcelona,2,2,Empate,1,0,H,21,20,6,9,5,9,11,7,2,0,0,0
01/04/18,Atlético Madrid,La Coruna,1,0,Vitória Mandante,1,0,H,15,10,3,2,9,7,14,15,2,3,0,0
01/04/18,Eibar,Real Sociedad,0,0,Empate,0,0,D,15,7,3,0,8,1,14,10,4,2,0,0
01/04/18,Espanol,Alavés,0,0,Empate,0,0,D,12,13,3,4,6,5,18,12,3,2,0,0
01/04/18,Leganes,Valencia,0,1,Vitória Visitante,0,0,D,8,3,1,1,5,2,14,17,3,4,0,0
01/04/18,Malaga,Villarreal,1,0,Vitória Mandante,1,0,H,13,11,3,1,3,6,17,13,2,3,0,0
02/04/18,Getafe,Betis,0,1,Vitória Visitante,0,0,D,8,7,4,4,4,0,21,9,4,2,0,0
06/04/18,La Coruna,Malaga,3,2,Vitória Mandante,1,1,D,14,11,6,4,7,6,16,14,4,3,0,0
07/04/18,Alavés,Getafe,2,0,Vitória Mandante,0,0,D,11,5,2,1,1,3,17,22,2,3,0,0
07/04/18,Barcelona,Leganes,3,1,Vitória Mandante,2,0,H,12,11,6,1,5,3,14,12,2,4,0,0
07/04/18,Betis,Eibar,2,0,Vitória Mandante,1,0,H,13,5,4,2,7,8,10,11,2,2,0,0
07/04/18,Celta Vigo,Sevilla,4,0,Vitória Mandante,1,0,H,12,16,6,6,3,10,8,12,1,2,0,0
08/04/18,Levante,Las Palmas,2,1,Vitória Mandante,1,0,H,11,17,4,5,4,5,19,10,6,3,2,0
08/04/18,Real Madrid,Atlético Madrid,1,1,Empate,0,0,D,30,9,8,5,11,2,12,17,2,3,0,0
08/04/18,Real Sociedad,Girona,5,0,Vitória Mandante,2,0,H,13,8,7,1,4,5,8,20,2,2,0,0
08/04/18,Valencia,Espanol,1,0,Vitória Mandante,1,0,H,14,21,6,6,4,3,17,10,3,2,0,0
09/04/18,Villarreal,Athletic Club,1,3,Vitória Visitante,0,1,A,7,17,2,13,3,6,17,11,5,5,1,0
13/04/18,Girona,Betis,0,1,Vitória Visitante,0,1,A,9,10,4,2,6,4,23,18,7,5,0,0
14/04/18,Athletic Club,La Coruna,2,3,Vitória Visitante,0,2,A,13,5,4,3,11,6,5,9,2,1,0,0
14/04/18,Barcelona,Valencia,2,1,Vitória Mandante,1,0,H,12,17,7,6,6,5,9,11,2,2,0,0
14/04/18,Las Palmas,Real Sociedad,0,1,Vitória Visitante,0,1,A,7,20,0,11,4,6,6,16,0,0,0,0
14/04/18,Leganes,Celta Vigo,1,0,Vitória Mandante,0,0,D,19,5,7,2,8,3,22,17,3,3,0,0
