,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
1,Getafe,2021-02-09,Visitante,D,0.0,2.0,Real Madrid,33.0,2.0,1,69.3,,,,,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/7848bd64.png
2,Getafe,2020-09-19,Em casa,V,1.0,0.0,Osasuna,55.0,1.0,4,65.8,6.0,1.0,16.7,100.0,
3,Getafe,2020-09-26,Visitante,E,0.0,0.0,Alavés,53.0,0.0,5,65.0,11.0,4.0,36.4,0.0,
4,Getafe,2020-09-29,Em casa,V,3.0,0.0,Betis,31.0,3.0,1,61.0,8.0,4.0,50.0,75.0,
5,Getafe,2020-10-03,Visitante,D,0.0,3.0,Real Sociedad,47.0,3.0,4,64.8,5.0,1.0,20.0,0.0,
6,Getafe,2020-10-17,Em casa,V,1.0,0.0,Barcelona,27.0,1.0,7,58.2,8.0,3.0,37.5,0.0,
7,Getafe,2020-10-25,Em casa,D,0.0,1.0,Granada,67.0,1.0,6,67.6,10.0,1.0,10.0,0.0,
8,Getafe,2020-11-01,Visitante,E,2.0,2.0,Valencia,62.0,4.0,3,74.5,15.0,5.0,33.3,40.0,
9,Getafe,2020-11-08,Em casa,D,1.0,3.0,Villarreal,46.0,4.0,3,70.3,13.0,4.0,30.8,25.0,
10,Getafe,2020-11-22,Visitante,E,0.0,0.0,Eibar,54.0,0.0,4,53.7,8.0,4.0,50.0,0.0,
11,Getafe,2020-11-29,Em casa,E,1.0,1.0,Athletic Club,52.0,2.0,3,65.5,11.0,3.0,27.3,33.0,
12,Getafe,2020-12-05,Visitante,D,0.0,3.0,Levante,33.0,3.0,5,63.4,,,,,
13,Getafe,2020-12-12,Em casa,D,0.0,1.0,Sevilla,26.0,1.0,5,67.0,8.0,1.0,12.5,0.0,
14,Getafe,2020-12-20,Visitante,V,2.0,0.0,Cádiz,37.0,2.0,4,70.6,6.0,4.0,66.7,50.0,
15,Getafe,2020-12-23,Em casa,E,1.0,1.0,Celta Vigo,38.0,2.0,1,71.4,6.0,3.0,50.0,33.0,
16,Getafe,2020-12-30,Visitante,D,0.0,1.0,Atlético Madrid,49.0,1.0,2,75.0,10.0,2.0,20.0,0.0,
17,Getafe,2021-01-02,Em casa,D,0.0,1.0,Valladolid,54.0,1.0,5,74.9,11.0,4.0,36.4,0.0,
18,Getafe,2021-01-11,Visitante,V,3.0,1.0,Elche,53.0,4.0,7,82.6,13.0,6.0,46.2,33.0,
19,Getafe,2021-01-20,Em casa,V,1.0,0.0,Huesca,47.0,1.0,3,74.4,12.0,5.0,41.7,20.0,
20,Getafe,2021-01-25,Visitante,D,1.0,5.0,Athletic Club,47.0,6.0,4,73.9,5.0,1.0,20.0,100.0,
21,Getafe,2021-01-31,Em casa,E,0.0,0.0,Alavés,58.0,0.0,5,66.4,,,,,
22,Getafe,2021-02-06,Visitante,D,0.0,3.0,Sevilla,24.0,3.0,1,67.5,5.0,1.0,20.0,0.0,
23,Getafe,2021-02-14,Em casa,D,0.0,1.0,Real Sociedad,44.0,1.0,2,64.6,,,,,
24,Getafe,2021-02-19,Visitante,D,0.0,1.0,Betis,36.0,1.0,2,65.3,6.0,1.0,16.7,0.0,
25,Getafe,2021-02-27,Em casa,V,3.0,0.0,Valencia,42.0,3.0,3,60.9,13.0,4.0,30.8,75.0,
1,Valencia,2020-09-13,Em casa,V,4.0,2.0,Levante,43.0,6.0,3,79.3,14.0,8.0,57.1,50.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/dcc91a7b.png
2,Valencia,2020-09-19,Visitante,D,1.0,2.0,Celta Vigo,49.0,3.0,6,78.8,9.0,3.0,33.3,33.0,
3,Valencia,2020-09-26,Em casa,E,1.0,1.0,Huesca,47.0,2.0,4,75.0,4.0,2.0,50.0,50.0,
4,Valencia,2020-09-29,Visitante,V,1.0,0.0,Real Sociedad,35.0,1.0,3,70.5,9.0,5.0,55.6,20.0,
5,Valencia,2020-10-03,Em casa,D,0.0,2.0,Betis,47.0,2.0,4,79.9,5.0,2.0,40.0,0.0,
6,Valencia,2020-10-18,Visitante,D,1.0,2.0,Villarreal,38.0,3.0,7,79.4,11.0,3.0,27.3,33.0,
7,Valencia,2020-10-23,Visitante,D,1.0,2.0,Elche,52.0,3.0,7,84.1,14.0,3.0,21.4,33.0,
8,Valencia,2020-11-01,Em casa,E,2.0,2.0,Getafe,38.0,4.0,0,66.4,8.0,4.0,50.0,25.0,
9,Valencia,2020-11-08,Em casa,V,4.0,1.0,Real Madrid,35.0,5.0,1,78.1,4.0,1.0,25.0,0.0,
10,Valencia,2020-11-22,Visitante,E,2.0,2.0,Alavés,66.0,4.0,5,83.4,14.0,5.0,35.7,40.0,
11,Valencia,2020-11-28,Em casa,D,0.0,1.0,Atlético Madrid,34.0,1.0,2,74.4,5.0,2.0,40.0,0.0,
