,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
4,Stuttgart,2020-10-17,Visitante,V,2.0,0.0,Hertha BSC,37.0,2.0,4,67.2,7,2,28.6,100,
5,Stuttgart,2020-10-23,Em casa,E,1.0,1.0,Köln,58.0,2.0,3,82.9,8,4,50.0,25,
6,Stuttgart,2020-10-30,Visitante,E,1.0,1.0,Schalke 04,53.0,2.0,4,83.6,19,7,36.8,0,
7,Stuttgart,2020-11-07,Em casa,E,2.0,2.0,Eint Frankfurt,41.0,4.0,10,73.3,14,4,28.6,25,
8,Stuttgart,2020-11-21,Visitante,E,3.0,3.0,Hoffenheim,57.0,6.0,4,81.3,22,9,40.9,33,
9,Stuttgart,2020-11-28,Em casa,D,1.0,3.0,Bayern Munich,43.0,4.0,4,77.8,15,5,33.3,20,
10,Stuttgart,2020-12-06,Visitante,V,2.0,1.0,Werder Bremen,47.0,3.0,4,75.5,10,5,50.0,20,
11,Stuttgart,2020-12-12,Visitante,V,5.0,1.0,Dortmund,29.0,6.0,3,75.2,18,9,50.0,44,
12,Stuttgart,2020-12-15,Em casa,E,2.0,2.0,Union Berlin,61.0,4.0,2,79.6,13,5,38.5,40,
13,Stuttgart,2020-12-20,Visitante,D,0.0,1.0,Wolfsburg,51.0,1.0,6,76.8,10,2,20.0,0,
14,Stuttgart,2021-01-02,Em casa,D,0.0,1.0,RB Leipzig,45.0,1.0,3,76.9,9,1,11.1,0,
15,Stuttgart,2021-01-10,Visitante,V,4.0,1.0,Augsburg,57.0,5.0,11,84.1,25,9,36.0,33,
16,Stuttgart,2021-01-16,Em casa,E,2.0,2.0,M'Gladbach,60.0,4.0,5,84.3,19,5,26.3,20,
17,Stuttgart,2021-01-20,Visitante,D,0.0,3.0,Arminia,66.0,3.0,6,86.0,10,3,30.0,0,
18,Stuttgart,2021-01-23,Visitante,D,1.0,2.0,Freiburg,62.0,3.0,5,78.9,23,8,34.8,13,
19,Stuttgart,2021-01-29,Em casa,V,2.0,0.0,Mainz 05,53.0,2.0,2,77.4,12,4,33.3,50,
20,Stuttgart,2021-02-06,Visitante,D,2.0,5.0,Leverkusen,44.0,7.0,4,75.9,13,7,53.8,29,
21,Stuttgart,2021-02-13,Em casa,E,1.0,1.0,Hertha BSC,52.0,2.0,1,81.8,11,3,27.3,33,
22,Stuttgart,2021-02-20,Visitante,V,1.0,0.0,Köln,48.0,1.0,6,80.7,9,3,33.3,33,
23,Stuttgart,2021-02-27,Em casa,V,5.0,1.0,Schalke 04,48.0,6.0,10,75.8,18,10,55.6,50,
1,Hoffenheim,2020-09-19,Visitante,V,3.0,2.0,Köln,51.0,5.0,6,78.2,12,6,50.0,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/033ea6b8.png
2,Hoffenheim,2020-09-27,Em casa,V,4.0,1.0,Bayern Munich,29.0,5.0,3,63.5,16,7,43.8,43,
3,Hoffenheim,2020-10-03,Visitante,D,1.0,2.0,Eint Frankfurt,48.0,3.0,7,79.3,11,3,27.3,33,
4,Hoffenheim,2020-10-17,Em casa,D,0.0,1.0,Dortmund,45.0,1.0,4,80.3,9,3,33.3,0,
5,Hoffenheim,2020-10-25,Visitante,E,1.0,1.0,Werder Bremen,50.0,2.0,4,79.2,14,4,28.6,25,
6,Hoffenheim,2020-11-02,Em casa,D,1.0,3.0,Union Berlin,60.0,4.0,3,84.9,10,4,40.0,25,
7,Hoffenheim,2020-11-08,Visitante,D,1.0,2.0,Wolfsburg,55.0,3.0,7,75.9,14,4,28.6,25,
8,Hoffenheim,2020-11-21,Em casa,E,3.0,3.0,Stuttgart,43.0,6.0,3,77.3,12,7,58.3,29,
9,Hoffenheim,2020-11-29,Visitante,E,1.0,1.0,Mainz 05,64.0,2.0,5,83.1,10,4,40.0,25,
10,Hoffenheim,2020-12-07,Em casa,V,3.0,1.0,Augsburg,54.0,4.0,4,83.4,10,7,70.0,43,
11,Hoffenheim,2020-12-13,Visitante,D,1.0,4.0,Leverkusen,39.0,5.0,5,76.9,11,4,36.4,25,
12,Hoffenheim,2020-12-16,Em casa,D,0.0,1.0,RB Leipzig,45.0,1.0,5,77.1,6,3,50.0,0,
13,Hoffenheim,2020-12-19,Visitante,V,2.0,1.0,M'Gladbach,53.0,3.0,3,82.0,16,5,31.3,40,
14,Hoffenheim,2021-01-02,Em casa,D,1.0,3.0,Freiburg,68.0,4.0,8,84.2,14,6,42.9,17,
15,Hoffenheim,2021-01-09,Visitante,D,0.0,4.0,Schalke 04,60.0,4.0,4,81.6,19,5,26.3,0,
16,Hoffenheim,2021-01-16,Em casa,E,0.0,0.0,Arminia,54.0,0.0,5,80.8,11,5,45.5,0,
17,Hoffenheim,2021-01-19,Visitante,V,3.0,0.0,Hertha BSC,42.0,3.0,2,79.0,11,6,54.5,50,
18,Hoffenheim,2021-01-24,Em casa,V,3.0,0.0,Köln,45.0,3.0,6,74.7,11,2,18.2,50,
19,Hoffenheim,2021-01-30,Visitante,D,1.0,4.0,Bayern Munich,39.0,5.0,4,78.7,16,5,31.3,20,
