clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Nice,2020-10-03, 6,Em casa,V,2,1,Nantes,73,3,
Nice,2020-09-27, 5,Visitante,E,0,0,Bordeaux,54,0,
Nice,2020-09-20, 4,Em casa,D,0,3,Paris S-G,50,3,
Nice,2020-09-12, 3,Visitante,D,1,3,Montpellier,61,4,
Nice,2020-08-29, 2,Visitante,V,2,0,Strasbourg,55,2,
Nice,2020-08-23, 1,Em casa,V,2,1,Lens,57,3,
Metz,2021-05-23,38,Em casa,E,1,1,Marseille,36,2,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/f83960ae.png
Metz,2021-05-16,37,Visitante,D,1,2,Lorient,62,3,
Metz,2021-05-09,36,Em casa,D,0,3,Nîmes,58,3,
Metz,2021-05-02,35,Visitante,V,5,1,Dijon,55,6,
Metz,2021-04-24,34,Em casa,D,1,3,Paris S-G,34,4,
Metz,2021-04-18,33,Visitante,E,0,0,Reims,50,0,
Metz,2021-04-09,32,Em casa,D,0,2,Lille,51,2,
Metz,2021-04-03,31,Visitante,D,0,4,Monaco,39,4,
Metz,2021-03-20,30,Em casa,D,1,3,Rennes,52,4,
Metz,2021-03-14,29,Visitante,E,2,2,Lens,46,4,
Metz,2021-03-03,28,Em casa,D,0,1,Angers,64,1,
Metz,2021-02-27,27,Visitante,V,2,1,Bordeaux,49,3,
Metz,2021-02-21,26,Visitante,V,2,1,Nice,35,3,
Metz,2021-02-14,25,Em casa,D,1,2,Strasbourg,45,3,
Metz,2021-02-07,24,Visitante,D,0,1,Saint-Étienne,51,1,
Metz,2021-02-03,23,Em casa,E,1,1,Montpellier,45,2,
Metz,2021-01-31,22,Visitante,V,4,2,Brest,38,6,
Metz,2021-01-24,21,Em casa,V,2,0,Nantes,43,2,
Metz,2021-01-17,20,Visitante,V,1,0,Lyon,37,1,
Metz,2021-01-09,19,Em casa,E,1,1,Nice,44,2,
Metz,2021-01-06,18,Em casa,E,0,0,Bordeaux,43,0,
Metz,2020-12-23,17,Visitante,D,0,1,Rennes,38,1,
Metz,2020-12-19,16,Em casa,V,2,0,Lens,39,2,
Metz,2020-12-16,15,Visitante,V,2,0,Montpellier,42,2,
Metz,2020-12-13,14,Visitante,E,2,2,Strasbourg,42,4,
Metz,2020-12-06,13,Em casa,D,1,3,Lyon,47,4,
Metz,2020-11-29,12,Em casa,D,0,2,Brest,45,2,
Metz,2020-11-22,11,Visitante,E,1,1,Nantes,34,2,
Metz,2020-11-08,10,Em casa,E,1,1,Dijon,44,2,
Metz,2020-11-01, 9,Visitante,V,1,0,Nîmes,32,1,
Metz,2020-10-25, 8,Em casa,V,2,0,Saint-Étienne,42,2,
Metz,2020-10-18, 7,Visitante,E,1,1,Angers,54,2,
Metz,2020-10-04, 6,Em casa,V,3,1,Lorient,58,4,
Metz,2020-09-26, 5,Visitante,E,1,1,Marseille,40,2,
Metz,2020-09-20, 4,Em casa,V,2,1,Reims,59,3,
