,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
0,Napoli,2021-03-14,27,Visitante,V,1.0,0.0,Milan,44.0,1.0,4,84.9,15,26.7,15.0,2,0,11,5,100.0,1,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/d48ad4ff.png
1,Napoli,2021-03-07,26,Em casa,V,3.0,1.0,Bologna,43.0,4.0,6,78.2,14,50.0,4.666666666666667,2,0,14,4,75.0,0,
2,Napoli,2021-03-03,25,Visitante,E,3.0,3.0,Sassuolo,43.0,6.0,4,83.6,15,26.7,5.0,2,0,15,3,66.7,0,
3,Napoli,2021-02-28,24,Em casa,V,2.0,0.0,Benevento,61.0,2.0,8,85.7,19,26.3,9.5,3,1,14,3,100.0,1,
4,Napoli,2021-02-21,23,Visitante,D,2.0,4.0,Atalanta,53.0,6.0,3,82.7,4,50.0,2.0,1,0,13,5,20.0,0,
5,Napoli,2021-02-13,22,Em casa,V,1.0,0.0,Juventus,38.0,1.0,3,76.8,7,14.3,7.0,2,0,12,6,100.0,1,
6,Napoli,2021-02-06,21,Visitante,D,1.0,2.0,Genoa,66.0,3.0,6,85.9,27,33.3,27.0,3,0,11,2,0.0,0,
7,Napoli,2021-01-31,20,Em casa,V,2.0,0.0,Parma,48.0,2.0,7,80.0,10,30.0,5.0,2,0,16,1,100.0,1,
8,Napoli,2021-01-24,19,Visitante,D,1.0,3.0,Hellas Verona,52.0,4.0,3,79.3,12,16.7,12.0,3,0,11,7,57.1,0,
9,Napoli,2021-01-17,18,Em casa,V,6.0,0.0,Fiorentina,49.0,6.0,1,87.0,9,66.7,1.5,1,0,13,1,100.0,1,
10,Napoli,2021-01-10,17,Visitante,V,2.0,1.0,Udinese,63.0,3.0,7,87.3,16,31.3,8.0,1,0,8,8,87.5,0,
11,Napoli,2021-01-06,16,Em casa,D,1.0,2.0,Spezia,62.0,3.0,10,84.3,29,31.0,29.0,2,0,10,2,50.0,0,
12,Napoli,2021-01-03,15,Visitante,V,4.0,1.0,Cagliari,62.0,5.0,8,91.1,33,30.3,8.25,1,0,7,1,0.0,0,
13,Napoli,2020-12-23,14,Em casa,E,1.0,1.0,Torino,64.0,2.0,4,86.8,15,40.0,15.0,3,0,21,3,66.7,0,
14,Napoli,2020-12-20,13,Visitante,D,0.0,2.0,Lazio,60.0,2.0,9,86.1,14,42.9,0.0,3,0,11,2,0.0,0,
15,Napoli,2020-12-16,12,Visitante,D,0.0,1.0,Inter,59.0,1.0,3,89.9,17,17.6,0.0,3,1,9,1,100.0,0,
16,Napoli,2020-12-13,11,Em casa,V,2.0,1.0,Sampdoria,66.0,3.0,7,88.5,18,33.3,9.0,3,0,13,3,66.7,0,
17,Napoli,2020-12-06,10,Visitante,V,4.0,0.0,Crotone,61.0,4.0,1,91.9,14,42.9,3.5,3,0,10,1,100.0,1,
18,Napoli,2020-11-29, 9,Em casa,V,4.0,0.0,Roma,55.0,4.0,11,84.6,14,57.1,3.5,1,0,3,1,100.0,1,
19,Napoli,2020-11-22, 8,Em casa,D,1.0,3.0,Milan,62.0,4.0,8,85.3,19,36.8,19.0,3,1,7,7,57.1,0,
20,Napoli,2020-11-08, 7,Visitante,V,1.0,0.0,Bologna,53.0,1.0,7,81.3,19,21.1,19.0,0,0,12,3,100.0,1,
21,Napoli,2020-11-01, 6,Em casa,D,0.0,2.0,Sassuolo,43.0,2.0,12,81.9,21,28.6,0.0,2,0,9,3,66.7,0,
22,Napoli,2020-10-25, 5,Visitante,V,2.0,1.0,Benevento,65.0,3.0,15,86.0,19,26.3,9.5,1,0,13,3,66.7,0,
23,Napoli,2020-10-17, 4,Em casa,V,4.0,1.0,Atalanta,50.0,5.0,6,82.9,20,65.0,5.0,1,0,12,4,75.0,0,
24,Napoli,2020-09-27, 2,Em casa,V,6.0,0.0,Genoa,57.0,6.0,4,91.3,18,55.6,3.0,1,0,9,0,,1,
25,Napoli,2020-09-20, 1,Visitante,V,2.0,0.0,Parma,60.0,2.0,2,86.6,17,35.3,8.5,1,0,12,2,100.0,1,
0,Sassuolo,2021-03-13,27,Em casa,V,3.0,2.0,Hellas Verona,41.0,5.0,6,80.5,16,37.5,5.333333333333333,3,0,16,4,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/e2befd26.png
1,Sassuolo,2021-03-06,26,Visitante,D,0.0,2.0,Udinese,70.0,2.0,6,87.2,10,20.0,0.0,0,0,14,7,71.4,0,
2,Sassuolo,2021-03-03,25,Em casa,E,3.0,3.0,Napoli,57.0,6.0,6,86.7,12,25.0,4.0,2,0,18,4,50.0,0,
3,Sassuolo,2021-02-20,23,Em casa,E,1.0,1.0,Bologna,73.0,2.0,10,85.2,30,26.7,30.0,1,0,14,2,50.0,0,
4,Sassuolo,2021-02-14,22,Visitante,V,2.0,1.0,Crotone,64.0,3.0,8,85.5,22,13.6,11.0,1,0,21,4,75.0,0,
5,Sassuolo,2021-02-06,21,Em casa,D,1.0,2.0,Spezia,54.0,3.0,5,76.9,8,50.0,8.0,2,0,23,5,60.0,0,
6,Sassuolo,2021-01-31,20,Visitante,E,1.0,1.0,Cagliari,69.0,2.0,14,84.7,17,23.5,17.0,3,0,14,3,66.7,0,
7,Sassuolo,2021-01-24,19,Visitante,D,1.0,2.0,Lazio,50.0,3.0,6,84.9,5,20.0,5.0,3,0,16,6,66.7,0,
8,Sassuolo,2021-01-17,18,Em casa,E,1.0,1.0,Parma,60.0,2.0,5,87.5,16,18.8,16.0,3,0,18,2,50.0,0,
9,Sassuolo,2021-01-10,17,Visitante,D,1.0,3.0,Juventus,44.0,4.0,3,86.7,10,20.0,10.0,1,1,7,8,62.5,0,
10,Sassuolo,2021-01-06,16,Em casa,V,2.0,1.0,Genoa,63.0,3.0,8,85.6,17,17.6,8.5,3,0,19,2,50.0,0,
11,Sassuolo,2021-01-03,15,Visitante,D,1.0,5.0,Atalanta,54.0,6.0,3,81.5,10,40.0,10.0,1,0,12,7,28.6,0,
12,Sassuolo,2020-12-23,14,Visitante,V,3.0,2.0,Sampdoria,53.0,5.0,6,80.3,14,57.1,4.666666666666667,4,0,15,6,66.7,0,
13,Sassuolo,2020-12-20,13,Em casa,D,1.0,2.0,Milan,68.0,3.0,6,87.3,15,33.3,15.0,1,0,15,5,60.0,0,
14,Sassuolo,2020-12-16,12,Visitante,E,1.0,1.0,Fiorentina,65.0,2.0,1,89.3,13,38.5,13.0,4,0,12,4,100.0,0,
15,Sassuolo,2020-12-11,11,Em casa,V,1.0,0.0,Benevento,48.0,1.0,1,85.0,5,20.0,5.0,2,1,12,4,100.0,1,
16,Sassuolo,2020-12-06,10,Visitante,E,0.0,0.0,Roma,56.0,0.0,5,86.6,5,20.0,0.0,3,0,15,1,100.0,1,
17,Sassuolo,2020-11-28, 9,Em casa,D,0.0,3.0,Inter,66.0,3.0,6,90.2,13,23.1,0.0,3,0,15,4,25.0,0,
18,Sassuolo,2020-11-22, 8,Visitante,V,2.0,0.0,Hellas Verona,48.0,2.0,1,74.4,11,36.4,5.5,3,0,20,3,100.0,1,
19,Sassuolo,2020-11-06, 7,Em casa,E,0.0,0.0,Udinese,62.0,0.0,3,87.5,4,25.0,0.0,2,0,18,0,,1,
20,Sassuolo,2020-11-01, 6,Visitante,V,2.0,0.0,Napoli,57.0,2.0,3,89.0,6,50.0,3.0,2,0,14,6,100.0,1,
21,Sassuolo,2020-10-23, 5,Em casa,E,3.0,3.0,Torino,71.0,6.0,6,89.8,16,37.5,5.333333333333333,2,0,11,10,70.0,0,
22,Sassuolo,2020-10-18, 4,Visitante,V,4.0,3.0,Bologna,52.0,7.0,11,80.2,25,52.0,6.25,2,0,16,6,50.0,0,
23,Sassuolo,2020-10-03, 3,Em casa,V,4.0,1.0,Crotone,53.0,5.0,3,81.7,6,50.0,1.5,2,0,15,4,100.0,0,
24,Sassuolo,2020-09-27, 2,Visitante,V,4.0,1.0,Spezia,66.0,5.0,5,88.6,16,31.3,4.0,1,0,8,5,80.0,0,
