data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-01-30,Başakşehir,Hatayspor,1,5,Vitória Visitante,0,3,A,17,16,0,10,4,4,10,9,3,1,0,0,8,6,3,1,4
2021-01-30,Fenerbahçe,Rizespor,1,0,Vitória Mandante,1,0,H,15,6,4,1,7,2,16,16,1,5,0,1,9,1,1,6,7
2021-01-29,Gaziantep FK,Galatasaray,1,2,Vitória Visitante,0,0,D,15,6,6,6,8,4,15,9,1,1,0,0,12,3,1,1,2
2021-01-29,Yeni Mal'spor,Fatih Karagümrük,0,0,Empate,0,0,D,6,16,1,7,7,7,13,9,3,1,1,0,14,0,4,1,5
2021-01-25,Kasımpaşa,Sivasspor,2,0,Vitória Mandante,2,0,H,11,7,3,3,4,10,17,16,2,2,0,0,14,2,2,2,4
2021-01-25,Fenerbahçe,Kayserispor,3,0,Vitória Mandante,1,0,H,21,6,11,1,6,5,12,9,2,1,0,0,11,3,2,1,3
2021-01-25,Alanyaspor,Ankaragücü,4,3,Vitória Mandante,1,2,A,24,9,7,5,13,4,12,17,1,3,0,0,17,7,1,3,4
2021-01-24,Gaziantep FK,Hatayspor,1,1,Empate,1,0,H,7,12,2,3,2,5,18,10,2,2,0,0,7,2,2,2,4
2021-01-24,Beşiktaş,Göztepe,2,1,Vitória Mandante,0,1,A,10,5,5,3,1,2,15,17,2,3,0,0,3,3,2,3,5
2021-01-24,Yeni Mal'spor,Galatasaray,0,1,Vitória Visitante,0,0,D,5,10,3,4,3,6,13,13,3,2,0,0,9,1,3,2,5
2021-01-24,Denizlispor,Fatih Karagümrük,1,2,Vitória Visitante,0,1,A,17,11,5,3,4,1,16,12,3,3,0,0,5,3,3,3,6
2021-01-24,Konyaspor,Antalyaspor,0,0,Empate,0,0,D,8,6,0,3,6,2,8,12,1,1,0,0,8,0,1,1,2
2021-01-23,Başakşehir,Rizespor,1,1,Empate,0,0,D,17,4,4,1,9,1,13,10,2,2,0,0,10,2,2,2,4
2021-01-23,Gençlerbirliği,Trabzonspor,1,2,Vitória Visitante,0,1,A,13,14,2,8,5,5,10,13,2,2,0,0,10,3,2,2,4
2021-01-21,Erzurum BB,Alanyaspor,1,1,Empate,1,0,H,3,6,2,2,1,9,16,11,4,2,0,1,10,2,4,3,7
2021-01-21,Sivasspor,Fenerbahçe,1,1,Empate,1,1,D,11,8,4,4,7,3,15,11,2,1,0,0,10,2,2,1,3
2021-01-21,Ankaragücü,Kasımpaşa,1,0,Vitória Mandante,1,0,H,15,11,5,4,0,7,13,20,5,5,0,0,7,1,5,5,10
2021-01-21,Fatih Karagümrük,Beşiktaş,1,4,Vitória Visitante,0,1,A,10,18,3,7,4,7,8,13,2,0,0,0,11,5,2,0,2
2021-01-20,Galatasaray,Denizlispor,6,1,Vitória Mandante,3,0,H,14,14,10,6,8,11,9,15,1,1,0,0,19,7,1,1,2
2021-01-20,Rizespor,Gaziantep FK,3,0,Vitória Mandante,1,0,H,9,10,6,0,3,3,10,11,1,2,0,0,6,3,1,2,3
2021-01-20,Hatayspor,Yeni Mal'spor,1,2,Vitória Visitante,0,0,D,12,14,5,5,3,4,15,11,3,3,0,0,7,3,3,3,6
2021-01-19,Trabzonspor,Konyaspor,3,1,Vitória Mandante,1,0,H,10,13,5,3,0,6,16,11,3,5,0,0,6,4,3,5,8
2021-01-19,Kayserispor,Başakşehir,2,0,Vitória Mandante,1,0,H,14,18,6,1,4,4,12,8,1,0,0,0,8,2,1,0,1
2021-01-19,Göztepe,Gençlerbirliği,4,0,Vitória Mandante,3,0,H,12,5,6,2,2,1,9,10,1,2,0,0,3,4,1,2,3
2021-01-18,Kasımpaşa,Erzurum BB,1,2,Vitória Visitante,0,1,A,12,13,4,6,3,2,18,21,5,4,1,0,5,3,6,4,10
2021-01-18,Fenerbahçe,Ankaragücü,3,1,Vitória Mandante,2,0,H,17,13,8,3,4,4,22,18,2,1,0,0,8,4,2,1,3
2021-01-17,Beşiktaş,Galatasaray,2,0,Vitória Mandante,0,0,D,14,9,3,2,10,7,12,16,2,2,0,1,17,2,2,3,5
2021-01-17,Yeni Mal'spor,Rizespor,4,1,Vitória Mandante,0,1,A,20,7,9,3,4,4,13,14,0,2,0,0,8,5,0,2,2
2021-01-17,Denizlispor,Hatayspor,0,2,Vitória Visitante,0,0,D,12,12,2,5,6,2,19,8,2,3,0,1,8,2,2,4,6
2021-01-16,Gaziantep FK,Kayserispor,2,1,Vitória Mandante,1,0,H,13,10,6,4,5,2,9,11,1,2,0,0,7,3,1,2,3
2021-01-16,Antalyaspor,Trabzonspor,1,1,Empate,1,0,H,6,18,2,5,2,6,11,2,5,1,1,0,8,2,6,1,7
2021-01-16,Konyaspor,Göztepe,2,3,Vitória Visitante,0,2,A,21,6,10,5,7,5,8,8,2,1,0,0,12,5,2,1,3
2021-01-16,Başakşehir,Sivasspor,1,1,Empate,1,1,D,10,8,4,1,3,3,15,15,2,2,0,0,6,2,2,2,4
2021-01-15,Gençlerbirliği,Fatih Karagümrük,1,3,Vitória Visitante,0,2,A,17,14,3,7,8,3,21,8,5,3,0,0,11,4,5,3,8
2020-12-29,Antalyaspor,Hatayspor,0,6,Vitória Visitante,0,5,A,8,13,4,9,2,5,16,21,6,3,0,0,7,6,6,3,9
2020-12-28,Beşiktaş,Sivasspor,3,0,Vitória Mandante,1,0,H,13,8,5,2,1,5,20,15,1,3,0,1,6,3,1,4,5
2020-12-28,Konyaspor,Rizespor,1,1,Empate,1,0,H,13,16,4,5,1,3,10,14,2,1,0,1,4,2,2,2,4
2020-12-28,Gençlerbirliği,Kayserispor,3,2,Vitória Mandante,1,1,D,14,11,5,4,5,2,12,16,2,2,0,0,7,5,2,2,4
2020-12-27,Başakşehir,Kasımpaşa,2,2,Empate,1,1,D,19,11,9,7,6,4,12,12,1,4,0,1,10,4,1,5,6
2020-12-27,Yeni Mal'spor,Erzurum BB,1,3,Vitória Visitante,0,1,A,14,10,4,6,7,3,13,24,3,6,0,0,10,4,3,6,9
2020-12-27,Denizlispor,Ankaragücü,1,2,Vitória Visitante,0,2,A,12,8,3,3,7,4,17,13,2,3,0,0,11,3,2,3,5
2020-12-27,Gaziantep FK,Alanyaspor,3,1,Vitória Mandante,2,1,H,6,15,4,5,2,5,20,10,5,4,0,0,7,4,5,4,9
2020-12-26,Göztepe,Fatih Karagümrük,1,1,Empate,1,0,H,10,21,2,5,6,8,16,8,1,1,0,0,14,2,1,1,2
2020-12-26,Trabzonspor,Galatasaray,0,2,Vitória Visitante,0,1,A,12,9,4,5,1,2,11,10,2,3,0,0,3,2,2,3,5
2020-12-24,Rizespor,Antalyaspor,2,1,Vitória Mandante,1,0,H,11,12,4,7,2,4,14,8,3,2,0,0,6,3,3,2,5
2020-12-24,Ankaragücü,Beşiktaş,0,1,Vitória Visitante,0,0,D,8,7,1,3,2,1,16,18,1,0,0,0,3,1,1,0,1
2020-12-24,Sivasspor,Gençlerbirliği,3,1,Vitória Mandante,1,0,H,18,10,8,4,9,6,9,13,1,2,0,0,15,4,1,2,3
2020-12-24,Kayserispor,Konyaspor,1,2,Vitória Visitante,1,0,H,10,16,4,8,6,1,16,16,5,2,1,0,7,3,6,2,8
2020-12-23,Erzurum BB,Denizlispor,1,2,Vitória Visitante,0,1,A,13,11,6,5,12,4,8,14,3,2,0,0,16,3,3,2,5
2020-12-23,Alanyaspor,Yeni Mal'spor,1,1,Empate,1,0,H,14,13,5,7,6,1,13,19,2,2,0,0,7,2,2,2,4
2020-12-23,Kasımpaşa,Gaziantep FK,0,4,Vitória Visitante,0,2,A,12,9,5,4,5,6,17,19,2,2,0,0,11,4,2,2,4
2020-12-23,Fenerbahçe,Başakşehir,4,1,Vitória Mandante,1,1,D,15,19,4,3,7,10,16,10,2,4,0,2,17,5,2,6,8
2020-12-22,Galatasaray,Göztepe,3,1,Vitória Mandante,2,1,H,15,12,8,5,8,7,9,9,1,1,0,0,15,4,1,1,2
2020-12-22,Hatayspor,Trabzonspor,0,1,Vitória Visitante,0,0,D,17,8,5,2,6,2,13,17,1,1,0,0,8,1,1,1,2
2020-12-21,Antalyaspor,Kayserispor,2,0,Vitória Mandante,2,0,H,9,5,4,2,4,2,10,13,4,1,0,0,6,2,4,1,5
2020-12-21,Konyaspor,Sivasspor,0,1,Vitória Visitante,0,0,D,3,10,1,4,2,3,10,12,0,1,0,0,5,1,0,1,1
2020-12-20,Beşiktaş,Erzurum BB,4,0,Vitória Mandante,0,0,D,14,8,7,4,10,6,14,18,3,2,0,0,16,4,3,2,5
2020-12-20,Denizlispor,Alanyaspor,1,0,Vitória Mandante,1,0,H,5,17,2,7,3,8,25,15,8,2,1,0,11,1,9,2,11
2020-12-20,Gençlerbirliği,Ankaragücü,1,1,Empate,0,0,D,9,16,3,5,4,5,12,18,3,1,1,0,9,2,4,1,5
2020-12-19,Gaziantep FK,Fenerbahçe,3,1,Vitória Mandante,2,1,H,10,14,4,4,7,4,12,15,3,3,0,0,11,4,3,3,6
2020-12-19,Yeni Mal'spor,Kasımpaşa,2,0,Vitória Mandante,1,0,H,15,10,5,4,2,3,21,13,3,2,0,0,5,2,3,2,5
2020-12-19,Trabzonspor,Rizespor,2,1,Vitória Mandante,0,1,A,18,4,8,1,9,3,11,19,1,4,0,0,12,3,1,4,5
2020-12-19,Göztepe,Hatayspor,0,1,Vitória Visitante,0,0,D,8,13,2,3,2,3,18,14,3,2,0,0,5,1,3,2,5
2020-12-18,Fatih Karagümrük,Galatasaray,2,1,Vitória Mandante,0,0,D,7,15,4,1,5,8,11,22,7,4,1,1,13,3,8,5,13
2020-12-15,Ankaragücü,Hatayspor,2,0,Vitória Mandante,0,0,D,11,9,5,4,3,4,5,10,3,3,0,1,7,2,3,4,7
2020-12-14,Sivasspor,Antalyaspor,0,0,Empate,0,0,D,9,12,2,5,4,8,10,11,1,0,0,0,12,0,1,0,1
2020-12-13,Başakşehir,Gaziantep FK,1,2,Vitória Visitante,0,1,A,19,9,6,3,4,4,14,8,2,1,0,0,8,3,2,1,3
2020-12-13,Alanyaspor,Beşiktaş,2,1,Vitória Mandante,1,0,H,20,10,6,3,6,4,13,17,5,3,1,0,10,3,6,3,9
2020-12-13,Erzurum BB,Gençlerbirliği,0,1,Vitória Visitante,0,0,D,14,11,4,5,6,8,16,14,2,1,0,0,14,1,2,1,3
2020-12-12,Fenerbahçe,Yeni Mal'spor,0,3,Vitória Visitante,0,2,A,20,10,6,6,9,2,15,15,3,2,0,0,11,3,3,2,5
2020-12-12,Ankaragücü,Konyaspor,4,3,Vitória Mandante,1,2,A,11,8,5,4,4,2,9,15,5,3,1,0,6,7,6,3,9
2020-12-12,Rizespor,Göztepe,3,2,Vitória Mandante,1,0,H,13,12,7,5,3,4,18,16,3,5,0,0,7,5,3,5,8
2020-12-12,Kayserispor,Trabzonspor,0,0,Empate,0,0,D,18,11,6,4,4,4,6,10,0,3,0,0,8,0,0,3,3
2020-12-12,Hatayspor,Fatih Karagümrük,3,1,Vitória Mandante,1,0,H,7,13,5,3,1,4,17,9,1,7,0,2,5,4,1,9,10
2020-12-09,Galatasaray,Gaziantep FK,3,1,Vitória Mandante,3,0,H,23,9,12,2,8,6,13,12,2,3,0,0,14,4,2,3,5
2020-12-09,Göztepe,Denizlispor,5,1,Vitória Mandante,3,0,H,10,8,6,1,4,6,15,13,0,3,0,0,10,6,0,3,3
2020-12-09,Fatih Karagümrük,Yeni Mal'spor,3,0,Vitória Mandante,1,0,H,7,20,6,7,8,6,19,10,4,3,0,0,14,3,4,3,7
2020-12-09,Sivasspor,Alanyaspor,0,2,Vitória Visitante,0,1,A,10,12,4,6,7,6,14,11,4,2,0,0,13,2,4,2,6
2020-11-30,Kayserispor,Fatih Karagümrük,0,0,Empate,0,0,D,18,10,4,4,6,4,14,12,1,1,0,0,10,0,1,1,2
2020-11-30,Sivasspor,Göztepe,0,1,Vitória Visitante,0,0,D,7,6,5,1,6,3,11,13,1,3,0,0,9,1,1,3,4
2020-11-29,Fenerbahçe,Beşiktaş,3,4,Vitória Visitante,1,2,A,18,7,5,4,9,1,12,9,6,4,0,1,10,7,6,5,11
2020-11-29,Erzurum BB,Antalyaspor,2,2,Empate,1,0,H,11,11,4,6,2,8,13,17,3,3,0,1,10,4,3,4,7
2020-11-29,Alanyaspor,Konyaspor,1,0,Vitória Mandante,1,0,H,18,10,8,3,3,4,12,14,3,5,0,0,7,1,3,5,8
2020-11-29,Kasımpaşa,Gençlerbirliği,2,0,Vitória Mandante,2,0,H,13,20,9,5,5,3,15,8,2,2,0,0,8,2,2,2,4
2020-11-28,Gaziantep FK,Yeni Mal'spor,2,2,Empate,1,0,H,6,11,5,5,3,7,17,13,6,3,1,0,10,4,7,3,10
2020-11-28,Başakşehir,Denizlispor,3,3,Empate,2,0,H,18,12,7,7,6,4,11,12,2,1,0,0,10,6,2,1,3
2020-11-28,Rizespor,Galatasaray,0,4,Vitória Visitante,0,1,A,4,21,0,11,1,7,9,9,6,1,1,0,8,4,7,1,8
2020-11-27,Ankaragücü,Trabzonspor,0,1,Vitória Visitante,0,1,A,14,8,3,1,5,5,11,13,2,4,0,1,10,1,2,5,7
2020-11-23,Galatasaray,Kayserispor,1,1,Empate,0,0,D,27,3,12,1,10,2,12,13,1,4,0,1,12,2,1,5,6
2020-11-22,Trabzonspor,Erzurum BB,1,0,Vitória Mandante,1,0,H,11,21,3,7,4,10,11,13,2,3,0,0,14,1,2,3,5
2020-11-22,Antalyaspor,Alanyaspor,0,2,Vitória Visitante,0,0,D,4,10,3,5,5,3,17,11,5,1,1,0,8,2,6,1,7
2020-11-22,Konyaspor,Kasımpaşa,2,1,Vitória Mandante,0,1,A,16,8,8,3,5,5,13,9,3,2,0,0,10,3,3,2,5
2020-11-22,Göztepe,Ankaragücü,3,1,Vitória Mandante,1,0,H,10,14,4,7,7,6,17,11,2,2,0,0,13,4,2,2,4
2020-11-22,Hatayspor,Rizespor,2,2,Empate,1,1,D,14,7,6,1,6,4,14,15,1,2,0,0,10,4,1,2,3
2020-11-21,Denizlispor,Gaziantep FK,0,1,Vitória Visitante,0,1,A,13,11,4,5,6,3,9,16,2,3,0,0,9,1,2,3,5
2020-11-21,Beşiktaş,Başakşehir,3,2,Vitória Mandante,2,0,H,20,19,8,7,4,8,12,17,3,5,0,1,12,5,3,6,9
2020-11-21,Gençlerbirliği,Fenerbahçe,1,5,Vitória Visitante,1,2,A,11,10,5,5,5,3,19,9,3,1,0,0,8,6,3,1,4
2020-11-21,Fatih Karagümrük,Sivasspor,1,1,Empate,0,1,A,19,9,5,3,5,5,15,16,4,3,0,0,10,2,4,3,7
2020-11-12,Kasımpaşa,Denizlispor,3,2,Vitória Mandante,2,1,H,16,13,5,4,3,7,16,12,2,2,0,0,10,5,2,2,4
2020-11-09,Rizespor,Fenerbahçe,1,2,Vitória Visitante,0,0,D,9,17,3,8,3,11,11,12,1,2,0,0,14,3,1,2,3
2020-10-31,Gençlerbirliği,Gaziantep FK,1,1,Empate,0,1,A,15,10,5,7,7,9,16,16,3,3,0,0,16,2,3,3,6
2020-10-31,Galatasaray,Ankaragücü,1,0,Vitória Mandante,1,0,H,13,7,3,1,7,3,10,14,1,3,0,0,10,1,1,3,4
2020-10-30,Fatih Karagümrük,Erzurum BB,5,1,Vitória Mandante,3,0,H,18,14,9,6,7,5,6,13,1,1,0,0,12,6,1,1,2
2020-10-30,Trabzonspor,Kasımpaşa,3,4,Vitória Visitante,3,2,H,12,17,4,11,2,5,8,10,3,2,0,0,7,7,3,2,5
2020-10-26,Sivasspor,Rizespor,0,2,Vitória Visitante,0,1,A,9,4,2,3,5,0,18,11,2,2,0,0,5,2,2,2,4
2020-10-26,Denizlispor,Beşiktaş,2,3,Vitória Visitante,0,2,A,9,18,5,5,2,5,14,14,2,3,0,1,7,5,2,4,6
2020-10-25,Fenerbahçe,Trabzonspor,3,1,Vitória Mandante,0,1,A,20,12,6,5,10,2,17,12,2,1,0,0,12,4,2,1,3
2020-10-25,Alanyaspor,Fatih Karagümrük,2,0,Vitória Mandante,1,0,H,19,7,8,4,4,4,12,14,1,1,0,0,8,2,1,1,2
2020-10-25,Yeni Mal'spor,Gençlerbirliği,2,1,Vitória Mandante,1,1,D,11,5,4,1,5,6,10,12,0,0,0,0,11,3,0,0,0
2020-10-24,Başakşehir,Antalyaspor,5,1,Vitória Mandante,4,1,H,30,6,9,2,12,1,6,7,0,0,0,1,13,6,0,1,1
2020-10-24,Erzurum BB,Galatasaray,1,2,Vitória Visitante,1,1,D,4,13,2,4,3,3,14,11,0,4,0,1,6,3,0,5,5
2020-10-24,Gaziantep FK,Konyaspor,1,0,Vitória Mandante,0,0,D,10,11,4,4,6,4,17,12,3,5,0,0,10,1,3,5,8
2020-10-23,Kasımpaşa,Göztepe,0,0,Empate,0,0,D,14,3,4,0,7,5,17,12,1,1,0,0,12,0,1,1,2
2020-10-19,Gençlerbirliği,Denizlispor,1,2,Vitória Visitante,0,2,A,7,23,2,10,5,4,11,13,1,0,0,0,9,3,1,0,1
2020-10-19,Galatasaray,Alanyaspor,1,2,Vitória Visitante,1,1,D,7,22,5,12,3,10,18,15,5,3,1,0,13,3,6,3,9
2020-10-18,Antalyaspor,Gaziantep FK,1,1,Empate,1,0,H,13,15,3,5,2,7,20,15,5,5,2,2,9,2,7,7,14
2020-10-18,Göztepe,Fenerbahçe,2,3,Vitória Visitante,1,2,A,8,19,5,8,4,7,10,21,3,4,0,0,11,5,3,4,7
2020-10-18,Fatih Karagümrük,Kasımpaşa,1,1,Empate,1,0,H,13,11,2,5,4,4,11,14,4,1,1,0,8,2,5,1,6
2020-10-17,Kayserispor,Sivasspor,1,3,Vitória Visitante,0,1,A,12,18,3,8,4,6,15,15,3,3,1,0,10,4,4,3,7
2020-10-17,Rizespor,Ankaragücü,5,3,Vitória Mandante,2,3,A,15,9,10,4,2,3,9,17,0,4,0,1,5,8,0,5,5
2020-10-17,Trabzonspor,Başakşehir,0,2,Vitória Visitante,0,1,A,12,17,6,6,4,4,10,13,1,1,0,0,8,2,1,1,2
2020-10-17,Konyaspor,Yeni Mal'spor,1,1,Empate,0,0,D,19,9,8,3,4,4,15,14,4,2,0,0,8,2,4,2,6
2020-09-28,Antalyaspor,Denizlispor,1,0,Vitória Mandante,0,0,D,10,5,5,2,7,3,21,11,0,2,0,0,10,1,0,2,2
2020-09-27,Galatasaray,Fenerbahçe,0,0,Empate,0,0,D,9,15,5,1,5,9,16,14,7,4,0,0,14,0,7,4,11
2020-09-27,Sivasspor,Ankaragücü,0,0,Empate,0,0,D,13,2,3,2,6,2,16,17,1,2,0,0,8,0,1,2,3
2020-09-27,Konyaspor,Beşiktaş,4,1,Vitória Mandante,1,0,H,10,10,4,2,3,4,12,17,4,4,0,0,7,5,4,4,8
2020-09-27,Rizespor,Alanyaspor,1,1,Empate,0,0,D,11,12,4,3,4,6,15,19,2,1,0,0,10,2,2,1,3
2020-09-26,Göztepe,Gaziantep FK,2,2,Empate,0,1,A,13,9,4,4,2,4,19,10,3,1,0,0,6,4,3,1,4
2020-09-26,Trabzonspor,Yeni Mal'spor,3,1,Vitória Mandante,3,0,H,10,9,4,4,5,5,9,14,1,2,0,0,10,4,1,2,3
2020-09-26,Hatayspor,Kasımpaşa,1,0,Vitória Mandante,0,0,D,11,6,3,3,6,3,14,16,2,3,0,0,9,1,2,3,5
2020-09-26,Kayserispor,Erzurum BB,1,3,Vitória Visitante,0,2,A,12,13,2,8,5,5,15,21,1,3,0,0,10,4,1,3,4
2020-09-25,Fatih Karagümrük,Başakşehir,2,0,Vitória Mandante,0,0,D,5,13,3,4,2,2,8,11,2,3,0,1,4,2,2,4,6
