data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2019-11-24,Kayserispor,Sivasspor,1.0,4.0,Vitória Visitante,1.0,1.0,D
2019-11-24,Yeni Malatyaspor,Fenerbahce,0.0,0.0,Empate,0.0,0.0,D
2019-11-23,Ankaragucu,Trabzonspor,0.0,3.0,Vitória Visitante,0.0,1.0,A
2019-11-23,Konyaspor,Besiktas,0.0,1.0,Vitória Visitante,0.0,0.0,D
2019-11-23,Denizlispor,Rizespor,2.0,0.0,Vitória Mandante,0.0,0.0,D
2019-11-22,Galatasaray,Buyuksehyr,0.0,1.0,Vitória Visitante,0.0,0.0,D
2019-11-05,Rizespor,Galatasaray,2.0,3.0,Vitória Visitante,1.0,1.0,D
2019-11-05,Goztep,Sivasspor,3.0,3.0,Empate,1.0,2.0,A
2019-11-05,Fenerbahce,Akhisar Belediyespor,2.0,1.0,Vitória Mandante,2.0,1.0,H
2019-11-03,Galatasaray,Antalyaspor,5.0,0.0,Vitória Mandante,1.0,0.0,H
2019-11-02,Sivasspor,Akhisar Belediyespor,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-11-02,Ankaragucu,Kasimpasa,3.0,0.0,Vitória Mandante,1.0,0.0,H
2019-10-28,Buyuksehyr,Trabzonspor,2.0,2.0,Empate,0.0,0.0,D
2019-10-27,Yeni Malatyaspor,Kayserispor,4.0,0.0,Vitória Mandante,1.0,0.0,H
2019-10-27,Goztep,Kasimpasa,1.0,4.0,Vitória Visitante,1.0,1.0,D
2019-10-27,Besiktas,Galatasaray,1.0,0.0,Vitória Mandante,0.0,0.0,D
2019-10-27,Genclerbirligi,Denizlispor,0.0,2.0,Vitória Visitante,0.0,1.0,A
2019-10-26,Fenerbahce,Konyaspor,5.0,1.0,Vitória Mandante,3.0,1.0,H
2019-10-26,Sivasspor,Antalyaspor,2.0,1.0,Vitória Mandante,0.0,0.0,D
2019-10-26,Gaziantep,Alanyaspor,1.0,1.0,Empate,0.0,1.0,A
2019-10-25,Rizespor,Ankaragucu,2.0,0.0,Vitória Mandante,1.0,0.0,H
2019-10-21,Konyaspor,Yeni Malatyaspor,0.0,2.0,Vitória Visitante,0.0,1.0,A
2019-10-20,Denizlispor,Fenerbahce,1.0,2.0,Vitória Visitante,0.0,1.0,A
2019-10-20,Alanyaspor,Rizespor,5.0,2.0,Vitória Mandante,2.0,0.0,H
2019-10-20,Kayserispor,Kasimpasa,1.0,1.0,Empate,0.0,1.0,A
2019-10-19,Trabzonspor,Gaziantep,4.0,1.0,Vitória Mandante,2.0,0.0,H
2019-10-19,Buyuksehyr,Goztep,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-10-19,Antalyaspor,Genclerbirligi,0.0,6.0,Vitória Visitante,0.0,5.0,A
2019-10-19,Ankaragucu,Besiktas,0.0,0.0,Empate,0.0,0.0,D
2019-10-18,Galatasaray,Sivasspor,3.0,2.0,Vitória Mandante,2.0,0.0,H
2019-10-11,Goztep,Yeni Malatyaspor,1.0,1.0,Empate,1.0,0.0,H
2019-10-11,Besiktas,Denizlispor,1.0,0.0,Vitória Mandante,0.0,0.0,D
2019-10-11,Trabzonspor,Alanyaspor,1.0,0.0,Vitória Mandante,0.0,0.0,D
2019-10-11,Buyuksehyr,Ankaragucu,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-10-05,Antalyaspor,Bursaspor,0.0,1.0,Vitória Visitante,0.0,1.0,A
2019-10-03,Besiktas,Konyaspor,3.0,2.0,Vitória Mandante,2.0,1.0,H
2019-10-03,Alanyaspor,Erzurum BB,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-10-03,Goztep,Kasimpasa,0.0,0.0,Empate,0.0,0.0,D
2019-10-03,Rizespor,Kayserispor,3.0,0.0,Vitória Mandante,1.0,0.0,H
2019-10-02,Galatasaray,Trabzonspor,3.0,1.0,Vitória Mandante,2.0,1.0,H
2019-10-02,Goztep,Alanyaspor,3.0,2.0,Vitória Mandante,2.0,1.0,H
2019-10-02,Konyaspor,Yeni Malatyaspor,1.0,1.0,Empate,0.0,0.0,D
2019-09-30,Gaziantep,Goztep,1.0,1.0,Empate,0.0,0.0,D
2019-09-29,Ankaragucu,Genclerbirligi,2.0,1.0,Vitória Mandante,0.0,0.0,D
2019-09-29,Konyaspor,Kayserispor,2.0,1.0,Vitória Mandante,1.0,1.0,D
2019-09-29,Antalyaspor,Yeni Malatyaspor,3.0,0.0,Vitória Mandante,1.0,0.0,H
2019-09-29,Trabzonspor,Besiktas,4.0,1.0,Vitória Mandante,2.0,0.0,H
2019-09-28,Galatasaray,Fenerbahce,0.0,0.0,Empate,0.0,0.0,D
2019-09-28,Alanyaspor,Sivasspor,1.0,1.0,Empate,0.0,1.0,A
2019-09-28,Denizlispor,Kasimpasa,0.0,1.0,Vitória Visitante,0.0,0.0,D
2019-09-27,Buyuksehyr,Rizespor,5.0,0.0,Vitória Mandante,2.0,0.0,H
2019-09-23,Sivasspor,Trabzonspor,2.0,1.0,Vitória Mandante,1.0,1.0,D
2019-09-23,Besiktas,Buyuksehyr,1.0,1.0,Empate,0.0,0.0,D
2019-09-22,Genclerbirligi,Alanyaspor,1.0,1.0,Empate,1.0,0.0,H
2019-09-22,Rizespor,Gaziantep,1.0,2.0,Vitória Visitante,0.0,2.0,A
2019-09-22,Yeni Malatyaspor,Galatasaray,1.0,1.0,Empate,0.0,1.0,A
2019-09-21,Kasimpasa,Antalyaspor,3.0,0.0,Vitória Mandante,0.0,0.0,D
2019-09-21,Kayserispor,Denizlispor,1.0,1.0,Empate,1.0,0.0,H
2019-09-21,Fenerbahce,Ankaragucu,2.0,1.0,Vitória Mandante,1.0,1.0,D
2019-09-20,Goztep,Konyaspor,1.0,0.0,Vitória Mandante,0.0,0.0,D
2019-09-16,Alanyaspor,Fenerbahce,3.0,1.0,Vitória Mandante,1.0,1.0,D
2019-09-15,Denizlispor,Konyaspor,0.0,1.0,Vitória Visitante,0.0,0.0,D
2019-09-15,Ankaragucu,Yeni Malatyaspor,0.0,4.0,Vitória Visitante,0.0,3.0,A
2019-09-15,Rizespor,Goztep,0.0,0.0,Empate,0.0,0.0,D
2019-09-15,Trabzonspor,Genclerbirligi,2.0,2.0,Empate,1.0,1.0,D
2019-09-14,Gaziantep,Besiktas,3.0,2.0,Vitória Mandante,1.0,0.0,H
2019-09-14,Antalyaspor,Kayserispor,2.0,2.0,Empate,1.0,1.0,D
2019-09-14,Buyuksehyr,Sivasspor,1.0,1.0,Empate,0.0,1.0,A
2019-09-13,Galatasaray,Kasimpasa,1.0,0.0,Vitória Mandante,1.0,0.0,H
2019-09-12,Kayserispor,Rizespor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2019-09-11,Sivasspor,Konyaspor,2.0,0.0,Vitória Mandante,0.0,0.0,D
2019-09-11,Genclerbirligi,Kayserispor,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-09-11,Rizespor,Antalyaspor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2019-09-11,Gaziantep,Galatasaray,0.0,2.0,Vitória Visitante,0.0,2.0,A
2019-09-03,Buyuksehyr,Fenerbahce,2.0,1.0,Vitória Mandante,1.0,0.0,H
2019-09-03,Ankaragucu,Bursaspor,0.0,0.0,Empate,0.0,0.0,D
2019-09-03,Trabzonspor,Akhisar Belediyespor,2.0,1.0,Vitória Mandante,0.0,0.0,D
2019-09-02,Rizespor,Antalyaspor,1.0,1.0,Empate,1.0,0.0,H
2019-09-02,Besiktas,Bursaspor,2.0,0.0,Vitória Mandante,1.0,0.0,H
2019-09-02,Buyuksehyr,Erzurum BB,1.0,1.0,Empate,1.0,0.0,H
2019-08-31,Konyaspor,Antalyaspor,2.0,2.0,Empate,0.0,1.0,A
2019-08-31,Besiktas,Rizespor,1.0,1.0,Empate,0.0,1.0,A
2019-08-31,Goztep,Denizlispor,0.0,0.0,Empate,0.0,0.0,D
2019-08-30,Kayserispor,Galatasaray,2.0,3.0,Vitória Visitante,1.0,0.0,H
2019-08-30,Kasimpasa,Ankaragucu,0.0,1.0,Vitória Visitante,0.0,1.0,A
2019-08-26,Gaziantep,Genclerbirligi,4.0,1.0,Vitória Mandante,2.0,0.0,H
2019-08-25,Galatasaray,Konyaspor,1.0,1.0,Empate,0.0,0.0,D
